name,regime,M,K,N,group_size,split_k,ms
baseline_dequant_matmul,decode,1,8192,4096,128,n/a,5.974308558872768
triton_store,decode,1,8192,4096,128,1,0.8588595104217529
triton_heuristic,decode,1,8192,4096,128,4,0.37770270640978554
triton_splitk,decode,1,8192,4096,128,2,0.510995956210347
triton_splitk,decode,1,8192,4096,128,4,0.3762050619234844
baseline_dequant_matmul,decode,2,8192,4096,128,n/a,6.108736038208008
triton_store,decode,2,8192,4096,128,1,0.7253539284755444
triton_heuristic,decode,2,8192,4096,128,4,0.3776417929603129
triton_splitk,decode,2,8192,4096,128,2,0.5113018240247454
triton_splitk,decode,2,8192,4096,128,4,0.37744114704621146
baseline_dequant_matmul,decode,4,8192,4096,128,n/a,6.018367975950241
triton_store,decode,4,8192,4096,128,1,0.7351874755776446
triton_heuristic,decode,4,8192,4096,128,4,0.3807253367267549
triton_splitk,decode,4,8192,4096,128,2,0.5150987603305991
triton_splitk,decode,4,8192,4096,128,4,0.38064680136547185
baseline_dequant_matmul,decode,8,8192,4096,128,n/a,6.127615988254547
triton_store,decode,8,8192,4096,128,1,0.7439809148771721
triton_heuristic,decode,8,8192,4096,128,4,0.3896990165660519
triton_splitk,decode,8,8192,4096,128,2,0.5273735665327666
triton_splitk,decode,8,8192,4096,128,4,0.38973654642779165
baseline_dequant_matmul,decode,16,8192,4096,128,n/a,6.103615969419479
triton_store,decode,16,8192,4096,128,1,0.7664686092385301
triton_heuristic,decode,16,8192,4096,128,4,0.41121154274445415
triton_splitk,decode,16,8192,4096,128,2,0.552861120371983
triton_splitk,decode,16,8192,4096,128,4,0.4111416276012148
baseline_dequant_matmul,decode,32,8192,4096,128,n/a,6.043711990118027
triton_store,decode,32,8192,4096,128,1,1.123937193351456
triton_heuristic,decode,32,8192,4096,128,4,0.6818329237523626
triton_splitk,decode,32,8192,4096,128,2,0.8065999263808841
triton_splitk,decode,32,8192,4096,128,4,0.6812392744151029
baseline_dequant_matmul,decode,1,8192,8192,128,n/a,6.021597798665365
triton_store,decode,1,8192,8192,128,1,1.0508556224050976
triton_heuristic,decode,1,8192,8192,128,4,0.6151006454811957
triton_splitk,decode,1,8192,8192,128,2,0.7324805394462918
triton_splitk,decode,1,8192,8192,128,4,0.6150005504600984
